Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-03,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-04,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-05,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-06,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-07,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-08,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-09,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-10,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-11,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-12,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-13,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-14,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-15,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-16,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-17,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**【網上食品展 X BB展 X 寵物展】額外95折優惠!**
結賬時輸入DV7fair5即享額外95折 ！ 優惠只適用於2月17日！現附上「電子版．三大展覽購物攻略」，即睇更多激筍優惠！",
2021-02-18,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-19,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-20,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-21,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-22,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-23,true,99.90,73.90,14.78,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-24,true,99.90,73.90,14.78,"**$8 redeem Korean CJ kimchi**
Buy designated items +$8,$18 redeem  
worldwide quality items.  
Available while stock lasts
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
