Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,90.00,60.00,60.00,,
2021-01-02,true,90.00,60.00,60.00,,
2021-01-03,true,90.00,60.00,60.00,,
2021-01-04,true,90.00,60.00,60.00,,
2021-01-05,false,90.00,60.00,60.00,,
2021-01-06,false,90.00,60.00,60.00,,
2021-01-07,false,90.00,60.00,60.00,,
2021-01-08,false,90.00,60.00,60.00,,
2021-01-09,false,90.00,60.00,60.00,,
2021-01-10,false,90.00,60.00,60.00,,
2021-01-11,false,90.00,60.00,60.00,"**【新春牛mall王】1月11日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限1月11日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-01-12,false,90.00,60.00,60.00,,
2021-01-13,false,90.00,60.00,60.00,,
2021-01-14,false,90.00,60.00,60.00,,
2021-01-15,false,90.00,60.00,60.00,,
2021-01-16,false,90.00,60.00,60.00,,
2021-01-17,false,90.00,60.00,60.00,,
2021-01-18,false,90.00,60.00,60.00,,
2021-01-19,false,90.00,60.00,60.00,,
2021-01-20,false,90.00,60.00,60.00,,
2021-01-21,false,90.00,60.00,60.00,,
2021-01-22,false,90.00,60.00,60.00,,
2021-01-23,false,90.00,60.00,60.00,,
2021-01-24,false,90.00,60.00,60.00,,
2021-01-25,false,90.00,60.00,60.00,,
2021-01-26,false,90.00,60.00,60.00,,
2021-01-27,false,90.00,60.00,60.00,,
2021-01-28,false,90.00,60.00,60.00,,
2021-01-29,false,90.00,60.00,60.00,,
