Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,111.60,82.50,3.44,,
2021-01-02,true,111.60,82.50,3.44,,
2021-01-03,false,111.60,82.50,3.44,,
2021-01-04,false,111.60,82.50,3.44,,
2021-01-05,false,111.60,82.50,3.44,,
2021-01-06,true,111.60,86.60,3.61,"**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。
**精選維他產品 - 85折**
精選維他產品85折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-01-07,true,111.60,86.60,3.61,"**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。
**精選維他產品 - 85折**
精選維他產品85折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。
**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日",
2021-01-08,true,111.60,86.60,3.61,"**精選維他產品 - 85折**
精選維他產品85折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。
**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日",
2021-01-09,true,111.60,86.60,3.61,"**精選維他產品 - 85折**
精選維他產品85折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。
**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-10,true,111.60,86.60,3.61,"**精選維他產品 - 85折**
精選維他產品85折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。
**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-11,false,111.60,86.60,3.61,"**精選維他產品 - 85折**
精選維他產品85折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。
**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。
**【新春牛mall王】1月11日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限1月11日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-01-12,true,111.60,86.60,3.61,"**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-13,true,111.60,86.60,3.61,"**換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年1月31日
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
