Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,240.00,190.00,3.52,"**滿$250即送可口可樂 - Plus- 膳食纖維 (無糖) - 罐裝！**
凡購買皇冠/健力氏/絲潔精選紙品精選滿$250，即送可口可樂 - Plus- 膳食纖維 (無糖) - 罐裝！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期21/1 - 4/2。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,240.00,180.00,3.33,"**滿$250即送可口可樂 - Plus- 膳食纖維 (無糖) - 罐裝！**
凡購買皇冠/健力氏/絲潔精選紙品精選滿$250，即送可口可樂 - Plus- 膳食纖維 (無糖) - 罐裝！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期21/1 - 4/2。",
2021-02-03,true,240.00,180.00,3.33,"**滿$250即送可口可樂 - Plus- 膳食纖維 (無糖) - 罐裝！**
凡購買皇冠/健力氏/絲潔精選紙品精選滿$250，即送可口可樂 - Plus- 膳食纖維 (無糖) - 罐裝！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期21/1 - 4/2。",
2021-02-04,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。",
2021-02-05,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。",
2021-02-06,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。",
2021-02-07,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。",
2021-02-08,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。",
2021-02-09,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。
**柔麗/plu/DT/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$29.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49換購風倍清織物除菌消臭噴霧(高效除菌)或DERMAL THERAPY高效修護潤手霜  
貨品數量有限，換完即止。  
優惠期至2021年2月28日。",
2021-02-10,true,240.00,180.00,3.33,"**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**多用途保鮮膜換購優惠！**
凡購買指定產品，即可以$99換購SUPER WRAPZ - 多用途保鮮膜！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年2月3日至2021年2月28日。
**柔麗/plu/DT/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$29.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49換購風倍清織物除菌消臭噴霧(高效除菌)或DERMAL THERAPY高效修護潤手霜  
貨品數量有限，換完即止。  
優惠期至2021年2月28日。",
