Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。",
2021-02-03,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。",
2021-02-04,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
2021-02-05,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
2021-02-06,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
2021-02-07,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
2021-02-08,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
2021-02-09,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
2021-02-10,true,49.90,44.90,44.90,"****買2件$75.00  
平均****$37.50****
**法國朱古力心太軟 換購優惠**
【心太軟 換購優惠】凡購買精選急凍/冷凍產品即可以優惠價 換法國朱古力心太軟 !!  
每次交易最多可換購產品：10套。  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年2月15日。
**$34.9 / $42.9 / $47.9 高露潔換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9 / $47.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月28日。
**$27.9 / $35.9 / $49.9換購滴露精選產品！**
凡購買任何指定產品，即可以$27.9 / $35.9 / $49.9換購滴露精選產品！！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年2月11日。",
