Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,true,120.00,99.00,3.67,"**6折換購虎標酸痛凝膠優惠！**
【6折換購虎標酸痛凝膠優惠！】凡購買精選產品，即可以$29.9換購虎標 酸痛凝膠60克  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。",
2021-04-02,true,120.00,99.00,3.67,"**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。
**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。",
2021-04-03,true,120.00,99.00,3.67,"**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。
**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。",
2021-04-04,true,120.00,99.00,3.67,"**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。
**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。",
2021-04-05,true,120.00,99.00,3.67,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。",
2021-04-07,true,120.00,99.00,3.67,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。",
2021-04-13,true,120.00,99.00,3.67,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-14,false,120.00,95.00,3.52,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-15,false,120.00,95.00,3.52,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-18,false,120.00,79.90,2.96,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**優之源®換購優惠！**
【換購優惠！】凡購買精選產品，即可以$15換購優之源®酣睡啫喱棒 / $20換購優之源®酣睡飲  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年8月31日。",
2021-04-19,false,120.00,79.90,2.96,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**優之源®換購優惠！**
【換購優惠！】凡購買精選產品，即可以$15換購優之源®酣睡啫喱棒 / $20換購優之源®酣睡飲  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年8月31日。
**精選產品, 買2件額外95折!**
購買 2 件指定精選產品即享額外95折優惠 ！  
最終之專享價將顯示於結賬頁面。  
優惠期至2021年4月25日。",
2021-04-20,false,120.00,79.90,2.96,"**$34.9 / $42.9 / $55.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$34.9 / $42.9/ $55.9換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年4月30日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**優之源®換購優惠！**
【換購優惠！】凡購買精選產品，即可以$15換購優之源®酣睡啫喱棒 / $20換購優之源®酣睡飲  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年8月31日。",
