Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,false,768.00,330.00,55.00,,
2021-03-02,false,768.00,330.00,55.00,,
2021-03-03,false,768.00,330.00,55.00,,
2021-03-04,false,768.00,330.00,55.00,,
2021-03-05,false,768.00,330.00,55.00,,
2021-03-06,false,768.00,330.00,55.00,,
2021-03-07,false,768.00,330.00,55.00,,
2021-03-08,false,768.00,330.00,55.00,,
2021-03-09,false,768.00,330.00,55.00,,
2021-03-10,false,768.00,330.00,55.00,,
2021-03-11,false,768.00,330.00,55.00,,
2021-03-12,false,768.00,330.00,55.00,,
2021-03-13,false,768.00,330.00,55.00,,
2021-03-14,false,768.00,330.00,55.00,,
2021-03-15,false,768.00,330.00,55.00,,
2021-03-16,false,768.00,330.00,55.00,,
2021-03-17,false,768.00,330.00,55.00,,
2021-03-18,false,768.00,330.00,55.00,,
