Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,true,109.60,59.90,3.74,"**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-04-02,true,109.60,59.90,3.74,"**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-04-03,true,109.60,59.90,3.74,"**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-04-04,true,109.60,59.90,3.74,"**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-04-05,true,109.60,59.90,3.74,"**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-04-07,true,109.60,59.90,3.74,"**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-04-13,false,109.60,50.00,3.13,"**【換購優惠】**
【換購優惠】凡購買精選飲品，即可以優惠價換購Topdry台灣肉乾/小食 。數量有限，換完即止。優惠期至2021年4月30日。",
2021-04-14,false,109.60,59.90,3.74,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**【換購優惠】**
【換購優惠】凡購買精選飲品，即可以優惠價換購Topdry台灣肉乾/小食 。數量有限，換完即止。優惠期至2021年4月30日。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
2021-04-15,true,109.60,59.90,3.74,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**【換購優惠】**
【換購優惠】凡購買精選飲品，即可以優惠價換購Topdry台灣肉乾/小食 。數量有限，換完即止。優惠期至2021年4月30日。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
2021-04-18,true,109.60,47.90,2.99,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**【換購優惠】**
【換購優惠】凡購買精選飲品，即可以優惠價換購Topdry台灣肉乾/小食 。數量有限，換完即止。優惠期至2021年4月30日。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
2021-04-19,true,109.60,47.90,2.99,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**【換購優惠】**
【換購優惠】凡購買精選飲品，即可以優惠價換購Topdry台灣肉乾/小食 。數量有限，換完即止。優惠期至2021年4月30日。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
2021-04-20,true,109.60,47.90,2.99,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**【換購優惠】**
【換購優惠】凡購買精選飲品，即可以優惠價換購Topdry台灣肉乾/小食 。數量有限，換完即止。優惠期至2021年4月30日。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
